epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,193.175,1.37004,4.39565,0.00891,0.53765,0.55206,0.53395,0.32634,1.41166,3.42546,0.00991,0.000333077,0.000333077,0.0670253
2,370.605,1.26629,3.16737,0.0082,0.65043,0.60615,0.6428,0.40637,1.35853,2.79806,0.00888,0.000659813,0.000659813,0.0340187
3,543.564,1.23658,2.84886,0.00794,0.64893,0.63803,0.67727,0.43605,1.29944,2.607,0.00922,0.000979949,0.000979949,0.00100555
4,716.331,1.20041,2.65744,0.00759,0.66908,0.675,0.71412,0.44603,1.37936,2.47443,0.00999,0.0009703,0.0009703,0.0009703
5,888.771,1.18503,2.49875,0.00759,0.7304,0.6627,0.74524,0.50176,1.21942,2.30566,0.00835,0.0009604,0.0009604,0.0009604
6,1061.59,1.13216,2.35057,0.00714,0.72604,0.68687,0.75342,0.56191,0.99793,2.15243,0.00654,0.0009505,0.0009505,0.0009505
7,1235.2,1.08548,2.24932,0.00688,0.74872,0.67465,0.76624,0.57845,0.95524,2.07385,0.00625,0.0009406,0.0009406,0.0009406
8,1408.49,1.06171,2.14186,0.00667,0.78188,0.71826,0.79732,0.61777,0.89475,1.91844,0.0057,0.0009307,0.0009307,0.0009307
9,1582.69,1.05068,2.07088,0.00662,0.76922,0.70899,0.78932,0.61547,0.87537,1.90111,0.00579,0.0009208,0.0009208,0.0009208
10,1755.91,1.04205,2.01302,0.00657,0.75701,0.71903,0.79455,0.61645,0.89766,1.93929,0.00582,0.0009109,0.0009109,0.0009109
11,1928.8,1.03595,1.93874,0.00657,0.78219,0.72446,0.80569,0.63345,0.85282,1.88425,0.00543,0.000901,0.000901,0.000901
12,2102.37,1.0266,1.89249,0.00644,0.78161,0.73729,0.81304,0.63714,0.85998,1.82037,0.00552,0.0008911,0.0008911,0.0008911
13,2274.54,1.02468,1.85045,0.00646,0.79498,0.76017,0.82923,0.63772,0.91664,1.77792,0.00605,0.0008812,0.0008812,0.0008812
14,2447.88,1.01004,1.80035,0.00635,0.82048,0.76112,0.84215,0.66899,0.82455,1.63188,0.00524,0.0008713,0.0008713,0.0008713
15,2620.8,0.99412,1.73833,0.00624,0.80535,0.75547,0.82933,0.65893,0.82818,1.7118,0.00521,0.0008614,0.0008614,0.0008614
16,2797.78,0.98889,1.74958,0.00619,0.81935,0.7577,0.84008,0.66689,0.84882,1.67149,0.0054,0.0008515,0.0008515,0.0008515
17,2970.9,0.9827,1.71511,0.0061,0.83512,0.76457,0.85186,0.67978,0.81577,1.57364,0.00518,0.0008416,0.0008416,0.0008416
